	size_100_power	size_100_fpr	size_250_power	size_250_fpr	size_500_power	size_500_fpr
0	0.0	0.0	0.1	0.0	0.2	0.0
1	0.0	0.0	0.2	0.0	0.3	0.0023391812865497076
2	0.0	0.0	0.0	0.0	0.2	0.0
3	0.0	0.0	0.0	0.0	0.2	0.0
4	0.0	0.0	0.0	0.0	0.2	0.0035087719298245615
5	0.0	0.0	0.1	0.0	0.2	0.0011695906432748538
6	0.0	0.0	0.0	0.0	0.2	0.0
7	0.0	0.0	0.0	0.0	0.1	0.0
8	0.0	0.0	0.1	0.0011695906432748538	0.2	0.0
9	0.0	0.0	0.0	0.0	0.2	0.0
10	0.0	0.0	0.2	0.0	0.2	0.0
11	0.0	0.0	0.0	0.0	0.2	0.0
12	0.0	0.0	0.1	0.0	0.2	0.0011695906432748538
13	0.0	0.0	0.0	0.0	0.1	0.0
14	0.0	0.0	0.0	0.0	0.2	0.0
15	0.0	0.0	0.1	0.0011695906432748538	0.2	0.0011695906432748538
16	0.0	0.0	0.0	0.0	0.2	0.0
17	0.0	0.0	0.0	0.0	0.2	0.0
18	0.0	0.0	0.0	0.0	0.3	0.0023391812865497076
19	0.0	0.0	0.0	0.0	0.2	0.0
20	0.0	0.0	0.1	0.0011695906432748538	0.1	0.0
21	0.1	0.0	0.0	0.0	0.3	0.0
22	0.0	0.0	0.0	0.0	0.2	0.0
23	0.0	0.0	0.2	0.0011695906432748538	0.2	0.0011695906432748538
24	0.0	0.0	0.1	0.0	0.2	0.0
25	0.0	0.0	0.0	0.0	0.3	0.0023391812865497076
26	0.0	0.0	0.1	0.0011695906432748538	0.2	0.0023391812865497076
27	0.0	0.0	0.0	0.0	0.1	0.0011695906432748538
28	0.0	0.0	0.0	0.0	0.2	0.0
29	0.0	0.0	0.1	0.0	0.1	0.0
30	0.0	0.0	0.1	0.0	0.3	0.0
31	0.0	0.0	0.1	0.0011695906432748538	0.2	0.0011695906432748538
32	0.0	0.0	0.1	0.0	0.1	0.0
33	0.0	0.0	0.0	0.0	0.2	0.0011695906432748538
34	0.0	0.0	0.1	0.0	0.2	0.0023391812865497076
35	0.0	0.0	0.1	0.0	0.1	0.0
36	0.1	0.0	0.2	0.0	0.2	0.0
37	0.1	0.0	0.1	0.0	0.1	0.0
38	0.0	0.0	0.1	0.0	0.1	0.0011695906432748538
39	0.0	0.0	0.1	0.0	0.2	0.0
40	0.0	0.0	0.1	0.0011695906432748538	0.2	0.0
41	0.0	0.0	0.1	0.0	0.1	0.0
42	0.0	0.0	0.1	0.0023391812865497076	0.2	0.0023391812865497076
43	0.0	0.0	0.1	0.0	0.2	0.0011695906432748538
44	0.0	0.0	0.0	0.0	0.2	0.0
45	0.0	0.0	0.1	0.0	0.2	0.0011695906432748538
46	0.0	0.0	0.1	0.0	0.2	0.0011695906432748538
47	0.0	0.0	0.0	0.0	0.1	0.0
48	0.0	0.0	0.0	0.0	0.0	0.0011695906432748538
49	0.0	0.0	0.1	0.0	0.1	0.0
