<Trait>	sim
I6001	56.21001131625543
I6005	59.80078863837403
I6008	56.16484918829641
I6011	58.43420890571311
I6014	57.31765943878944
I6081	60.185841080828965
I6082	56.94585048606138
I6083	60.814011564536486
I6084	63.07113685342066
I6085	60.58422112430198
I6086	61.97738144711869
I6087	58.07251821551672
I6088	52.319127451643524
I6089	62.26894897583274
I6090	57.408904696527614
I6091	56.83109935100486
I6092	67.43522384711589
I6093	60.01766630624498
I6094	58.15365605163558
I6095	54.75922886280916
I6096	49.67862323668653
I6097	56.70477623695219
I6098	51.96463033202221
I6099	52.173135118891494
I6100	59.06710598896588
I6771	54.37814697014767
I6775	49.81524552758652
I6779	66.17230625948393
I6783	58.366416525405214
I6787	63.92486774144423
I6791	53.428860242440464
I6795	64.94006006312108
I6799	58.39369779215959
I6803	60.18662065589681
I6807	52.31604567925326
I6812	69.23866147261266
I6816	61.5532272196488
I6821	49.39140138918168
I6825	55.90701993216472
I6829	64.75602995711097
I6833	69.5132500365687
I6837	54.18252998749277
I6841	55.73448159103958
I6845	55.774759959605035
I6849	54.63199080220755
I6853	63.17768899474642
I6857	55.13037625482517
I6861	55.3693857707095
I6865	59.306684946629154
I6869	57.8568765959393
I6873	57.32800336559769
I6877	57.6625996113389
I6881	54.08624217653654
I6885	58.99813932764368
I6889	53.54397320120135
I6893	65.19395258139288
I6897	60.52916064554594
I6901	53.07729510842934
I6905	69.04257239187842
I6909	61.33514112940996
I6913	50.7774429395472
I6917	55.61384050535821
I6921	64.6358323403252
I6925	62.48780190741235
I6929	58.646366782610336
I6933	50.19022821429289
I6937	57.44235757192044
I6941	58.16583137698395
I6945	62.047389917124576
I6949	60.11693766202377
I6953	53.27564781449367
I6957	59.41061700251818
I6961	64.45934861782345
I6965	62.29557213376066
I6969	62.70500604976129
I6973	60.92651557899689
I6977	58.62425633578866
I6981	56.34653864426766
I6985	62.183160842694505
I6989	57.34207045513525
I6993	62.32469782755
I6997	60.89346518147418
I7001	55.68137928323371
I7005	59.137240927233876
I7009	48.45776264233492
I7013	50.3562673427156
I7017	55.73119213652652
I7021	49.47937412339792
I7025	58.20971023197105
I7029	56.77444018743875
I7033	61.926486070413446
