,sample_id,1,2,3,4,5,6,sample,original_ordering,ordered_ids
65,66,0.1296,0.0417,0.0009,0.133,0.0515,0.6432,C0_062314_071,100,C0_168_1
66,67,0.4632,0.5167,0.0024,0.0163,0.0004,0.001,C0_062314_072,36,C0_062314_040
67,68,0.0,0.3868,0.0,0.6132,0.0,0.0,C0_062314_073,62,C0_062314_066
68,69,0.0011,0.001,0.9951,0.0028,0.0,0.0,C0_062314_074,46,C0_062314_050
69,70,0.2367,0.0844,0.0765,0.14,0.1208,0.3416,C0_062314_076,105,C0_171_1
70,71,0.9978,0.0001,0.0001,0.002,0.0,0.0,C0_062314_077,15,C0_062314_018
71,72,0.1022,0.007,0.0266,0.105,0.0011,0.7581,C0_062314_078,99,C0_167_2
72,73,0.8894,0.0031,0.0033,0.0979,0.0011,0.0052,C0_062314_080,5,C0_062314_006
73,74,0.0,0.0,0.0,1.0,0.0,0.0,C0_062314_082,55,C0_062314_059
74,75,0.0966,0.0018,0.0423,0.6793,0.0928,0.0872,C0_062314_083,80,C0_062314_090
75,76,0.0,0.999,0.0,0.001,0.0,0.0,C0_062314_084,26,C0_062314_029
76,77,0.3899,0.0116,0.001,0.5908,0.0058,0.0009,C0_062314_086,81,C0_062314_091
77,78,0.0,0.0,0.0,1.0,0.0,0.0,C0_062314_087,56,C0_062314_060
78,79,0.0877,0.0071,0.001,0.0766,0.0004,0.8271,C0_062314_088,97,C0_166_2
79,80,0.0,0.9988,0.0,0.0012,0.0,0.0,C0_062314_090,23,C0_062314_026
80,81,0.2025,0.0389,0.0143,0.1339,0.0614,0.549,C0_062314_091,103,C0_169_2
81,82,0.4697,0.0002,0.5291,0.001,0.0,0.0,C0_062314_092,50,C0_062314_054
82,83,0.0,0.4866,0.0,0.5134,0.0,0.0,C0_062314_093,73,C0_062314_080
83,84,0.0,0.508,0.0,0.492,0.0,0.0,C0_062314_094,17,C0_062314_020
84,85,0.0,0.9983,0.0,0.0017,0.0,0.0,C0_062314_095,21,C0_062314_024
85,86,0.936,0.0016,0.001,0.0605,0.0,0.0009,C0_062314_096,10,C0_062314_012
86,87,0.0,0.0,0.0,1.0,0.0,0.0,C0_062314_097,57,C0_062314_061
87,88,0.0,0.3879,0.0,0.6121,0.0,0.0,C0_164_1,63,C0_062314_067
88,89,0.0,0.4803,0.0,0.5197,0.0,0.0,C0_164_2,71,C0_062314_077
89,90,0.9215,0.0016,0.001,0.0743,0.0003,0.0013,C0_164_3,7,C0_062314_009
90,91,0.0034,0.001,0.0016,0.2526,0.7407,0.0007,C0_164_4,89,C0_164_2
91,92,0.0,0.4778,0.0,0.5222,0.0,0.0,C0_164_5,70,C0_062314_076
92,93,0.9932,0.002,0.0002,0.0045,0.0,0.0001,C0_165_1,13,C0_062314_015
93,94,0.0017,0.0288,0.002,0.2059,0.7606,0.001,C0_165_2,88,C0_164_1
94,95,0.0,0.0,1.0,0.0,0.0,0.0,C0_165_3,43,C0_062314_047
95,96,0.0,0.0,1.0,0.0,0.0,0.0,C0_166_1,44,C0_062314_048
96,97,0.0,0.0,0.9995,0.0005,0.0,0.0,C0_166_2,37,C0_062314_041
97,98,0.0,0.4902,0.0,0.5098,0.0,0.0,C0_166_3,74,C0_062314_082
98,99,0.0437,0.0019,0.0631,0.678,0.1388,0.0744,C0_167_2,79,C0_062314_088
99,100,0.8088,0.0065,0.0413,0.1159,0.0217,0.0057,C0_168_1,3,C0_062314_004
100,101,0.9963,0.0009,0.0007,0.0019,0.0,0.0002,C0_168_2,14,C0_062314_016
101,102,0.418,0.001,0.0001,0.5807,0.0002,0.0,C0_169_1,84,C0_062314_094
102,103,0.0155,0.001,0.001,0.691,0.2904,0.0011,C0_169_2,78,C0_062314_087
103,104,0.1267,0.008,0.0063,0.2119,0.3744,0.2727,C0_169_3,91,C0_164_4
104,105,0.0,0.4602,0.0,0.5398,0.0,0.0,C0_171_1,67,C0_062314_072
