105
I1	79719.68789	56291.45932	62772.47837	59301.29741	56031.04027	55961.90694	66272.98313	57626.31646	59625.32599	62962.53551	55928.84980	61542.83075	56675.81170	57113.61170	69379.32599	56208.69741	55008.64027	64181.09741	55013.43075	63169.91646	62340.29741	68661.90694	55745.12599	61611.80218	68156.87837	55311.56408	55955.70694	61213.58313	56188.19265	64817.21170	56860.43075	66397.01170	63692.92599	57156.92599	60919.38313	59193.86884	62346.19265	67389.44027	55746.65932	57000.41170	55675.23075	56767.57361	56635.78313	62357.79265	63757.34503	64419.71646	69603.96408	55517.55456	59535.04980	57197.29741	57322.48789	61628.37361	57409.87837	61029.12599	56663.44980	56561.36408	57554.64980	62475.92599	62972.44980	56709.75456	64835.39265	56567.86884	62891.60218	64604.31646	66241.91646	56041.10694	62572.66884	62324.84027	56540.37361	55905.05932	57590.03075	55933.33551	57020.21170	61650.49741	57671.01170	64556.25932	59647.21170	61316.50694	55767.86884	66345.46884	55925.05932	56664.65932	65052.08789	62927.63075	65490.22122	57033.42122	62923.44027	61368.38313	65685.01170	57155.45932	55380.22122	62841.94503	57354.87837	55516.84980	56422.86884	56857.99265	56252.84980	62948.24027	56735.57361	57300.55456	56738.35456	59294.18313	57350.48789	55690.79265	63246.21170
I2	56291.45932	72966.23075	56929.24980	55280.06884	61722.81170	55049.67837	56742.75456	55163.08789	55733.09741	56739.30694	60934.62122	56969.60218	54605.58313	54960.38313	56982.09741	58929.46884	53544.41170	54466.86884	53473.20218	56195.68789	57037.06884	56707.67837	57047.89741	57029.57361	57477.64980	56424.33551	53399.47837	56776.35456	62773.96408	56565.98313	54145.20218	56290.78313	56824.69741	54815.69741	56703.15456	56045.64027	57214.96408	56526.21170	53289.43075	54901.18313	57967.00218	54543.34503	54052.55456	57328.56408	56948.11646	56755.48789	56263.73551	53502.32599	54627.82122	55088.06884	55301.25932	56977.14503	54502.64980	56658.89741	54245.22122	54458.13551	54827.42122	57272.69741	56928.22122	53711.52599	56861.16408	53821.64027	56802.37361	57024.08789	55961.68789	57862.87837	55122.44027	57353.61170	53787.14503	54119.83075	55906.80218	58891.10694	54753.98313	57476.26884	54896.78313	57385.03075	55804.98313	57110.27837	60112.64027	57063.24027	57857.83075	54317.43075	57092.85932	57078.40218	56099.99265	55083.19265	57468.21170	56816.15456	56409.78313	54705.23075	53173.99265	56760.71646	55231.64980	53210.62122	53708.64027	53807.76408	53652.62122	57302.01170	53857.34503	55268.32599	54943.12599	55100.95456	54802.25932	54260.56408	56995.98313
I3	62772.47837	56929.24980	75504.26884	60869.08789	56670.83075	56361.69741	63864.77361	57861.10694	63492.11646	65017.32599	56428.64027	66240.62122	56962.60218	57197.40218	64839.11646	56517.48789	55758.43075	58643.88789	55690.22122	64941.70694	66977.08789	63750.69741	56357.91646	66439.59265	65040.66884	55548.35456	55518.49741	64971.37361	56645.98313	63651.00218	56555.22122	63968.80218	65690.71646	57376.71646	65415.17361	61141.65932	66978.98313	64190.23075	55862.44980	57627.20218	55978.02122	57312.36408	56357.57361	65230.58313	65348.13551	64359.50694	63504.75456	55888.34503	60047.84027	57459.08789	57737.27837	66556.16408	56915.66884	67884.91646	56528.24027	57195.15456	57662.44027	65645.71646	66162.24027	56198.54503	66162.18313	56329.65932	64832.39265	66846.10694	63099.70694	56389.89741	59883.45932	65638.63075	56105.16408	56225.84980	58313.82122	56062.12599	57342.00218	65509.28789	60136.80218	65529.04980	62398.00218	66384.29741	56233.65932	67215.25932	56328.84980	56817.44980	65153.87837	65816.42122	63106.01170	57393.21170	67005.23075	64290.17361	63611.80218	57604.24980	55816.01170	65663.73551	57662.66884	55617.64027	55813.65932	56600.78313	56019.64027	65149.03075	59482.36408	57653.34503	57481.14503	61681.97361	59890.27837	55893.58313	64380.00218
I4	59301.29741	55280.06884	60869.08789	71475.90694	54870.64980	54783.51646	59775.59265	56308.92599	58115.93551	60592.14503	54979.45932	59233.44027	55242.42122	59668.22122	60721.93551	55167.30694	54434.24980	56793.70694	54743.04027	60796.52599	60746.90694	60388.51646	54952.73551	60032.41170	61807.48789	53975.17361	54523.31646	60947.19265	55347.80218	59467.82122	62227.04027	60289.62122	62933.53551	56061.53551	60063.99265	58055.47837	61013.80218	60393.04980	54008.26884	55716.02122	54468.84027	55853.18313	61795.39265	60622.40218	60477.95456	59827.32599	60709.57361	54937.16408	57761.65932	56139.90694	56107.09741	59582.98313	62745.48789	59508.73551	61524.05932	58354.97361	55939.25932	60926.53551	60086.05932	61117.36408	59237.00218	58965.47837	61398.21170	61040.92599	59802.52599	54862.71646	57804.27837	60827.44980	59855.98313	54810.66884	56719.64027	54892.94503	55815.82122	60298.10694	56423.62122	62621.86884	57749.82122	59266.11646	55042.47837	62155.07837	54947.66884	58976.26884	59265.69741	61051.24027	59911.83075	55689.03075	60007.04980	60331.99265	59067.62122	55475.06884	54361.83075	59969.55456	56032.48789	54283.45932	61307.47837	60488.60218	59366.45932	60423.84980	55680.18313	56282.16408	56141.96408	56902.79265	56343.09741	54353.40218	61083.82122
I5	56031.04027	61722.81170	56670.83075	54870.64980	71905.39265	54263.25932	56321.33551	54978.66884	55308.67837	56285.88789	65475.20218	56901.18313	54059.16408	54643.96408	56641.67837	57739.04980	53046.99265	54282.44980	52715.78313	55770.26884	56440.64980	56592.25932	58317.47837	56659.15456	57037.23075	56426.91646	52980.05932	56268.93551	64777.54503	56141.56408	53609.78313	56095.36408	56528.27837	54193.27837	56091.73551	55249.22122	56690.54503	55984.79265	52898.01170	54454.76408	56057.58313	54497.92599	53407.13551	56533.14503	56664.69741	56141.06884	56238.31646	52931.90694	54256.40218	54494.64980	54772.84027	56633.72599	54066.23075	56543.47837	53733.80218	53665.71646	54600.00218	56573.27837	56641.80218	53272.10694	56717.74503	53465.22122	56192.95456	56432.66884	55674.26884	56498.45932	54862.02122	56777.19265	53481.72599	53992.41170	55275.38313	57994.68789	54540.56408	56936.84980	54333.36408	56592.61170	55248.56408	56628.85932	58624.22122	56685.82122	56629.41170	53852.01170	56422.44027	56752.98313	55890.57361	54855.77361	57134.79265	55849.73551	56185.36408	54543.81170	52741.57361	56286.29741	54649.23075	52778.20218	53209.22122	53632.34503	53159.20218	56619.59265	53493.92599	54669.90694	54735.70694	54840.53551	54231.84027	54989.14503	56445.56408
I6	55961.90694	55049.67837	56361.69741	54783.51646	54263.25932	70222.12599	56218.20218	55147.53551	55157.54503	56198.75456	54202.06884	56445.04980	53974.03075	54488.83075	56339.54503	54504.91646	52936.85932	54229.31646	52865.64980	55537.13551	56318.51646	56146.12599	56518.34503	56341.02122	56618.09741	54688.78313	52909.92599	55995.80218	54490.41170	55697.43075	53605.64980	55890.23075	55909.14503	53780.14503	55987.60218	55385.08789	56249.41170	55930.65932	58642.87837	54385.63075	55234.44980	54093.79265	53603.00218	56429.01170	56393.56408	56007.93551	55926.18313	52978.77361	54025.26884	54123.51646	54690.70694	56422.59265	53939.09741	56432.34503	53749.66884	53907.58313	54635.86884	56327.14503	56439.66884	53384.97361	56470.61170	53096.08789	55852.82122	56564.53551	55523.13551	54798.32599	54756.88789	56360.05932	53365.59265	56866.27837	55165.24980	54077.55456	54326.43075	56676.71646	54125.23075	56669.47837	55277.43075	56453.72599	55350.08789	56534.68789	55507.27837	53904.87837	56271.30694	56418.84980	55534.44027	54675.64027	56910.65932	56243.60218	56097.23075	54615.67837	52864.44027	56186.16408	54489.09741	52535.06884	53149.08789	53537.21170	53254.06884	56674.45932	53088.79265	54502.77361	54481.57361	54648.40218	54184.70694	54349.01170	56055.43075
I7	66272.98313	56742.75456	63864.77361	59775.59265	56321.33551	56218.20218	75006.27837	57616.61170	61627.62122	63621.83075	56279.14503	67262.12599	57114.10694	57118.90694	65009.62122	56562.99265	55548.93551	61491.39265	55613.72599	62606.21170	64043.59265	67607.20218	56089.42122	65319.09741	66678.17361	55595.85932	55843.00218	63884.87837	56543.48789	63020.50694	56969.72599	65362.30694	63161.22122	57593.22122	63284.67837	62501.16408	64067.48789	65657.73551	56132.95456	57039.70694	56006.52599	57083.86884	56761.07837	64562.08789	64812.64027	65881.01170	65581.25932	55774.84980	59403.34503	57373.59265	57604.78313	65317.66884	57417.17361	65262.42122	56642.74503	56795.65932	57683.94503	64973.22122	64203.74503	56547.04980	65471.68789	56444.16408	62903.89741	65680.61170	63964.21170	56380.40218	61038.96408	63949.13551	56394.66884	56441.35456	57781.32599	56064.63075	57223.50694	66380.79265	59650.30694	64451.55456	61627.50694	65780.80218	56183.16408	64647.76408	56297.35456	57118.95456	65393.38313	64530.92599	63040.51646	57251.71646	66161.73551	63494.67837	66082.30694	57145.75456	55787.51646	64300.24027	57485.17361	55655.14503	56397.16408	57003.28789	56004.14503	64403.53551	59560.86884	57354.84980	57257.64980	63777.47837	59875.78313	55795.08789	64935.50694
I8	57626.31646	55163.08789	57861.10694	56308.92599	54978.66884	55147.53551	57616.61170	75969.94503	57724.95456	57475.16408	54813.47837	57752.45932	57594.44027	57879.24027	58069.95456	54944.32599	54004.26884	55604.72599	53939.05932	57568.54503	57641.92599	57495.53551	55112.75456	57781.43075	58493.50694	54108.19265	54355.33551	57535.21170	55177.82122	57673.84027	55449.05932	57378.64027	57649.55456	57327.55456	57440.01170	57304.49741	58042.82122	57501.06884	54680.28789	60826.04027	54594.85932	61350.20218	55553.41170	57969.42122	57755.97361	57624.34503	57550.59265	54187.18313	55651.67837	57451.92599	58672.11646	57971.00218	55864.50694	57346.75456	55522.07837	57492.99265	59735.27837	57615.55456	57889.07837	55305.38313	57511.02122	55096.49741	57829.23075	58221.94503	56755.54503	55157.73551	57214.29741	57948.46884	55237.00218	54957.68789	64874.65932	54929.96408	57477.84027	57901.12599	55012.64027	58273.88789	58575.84027	58012.13551	54901.49741	58327.09741	54941.68789	59617.28789	57728.71646	58003.25932	57387.84980	63151.04980	58240.06884	57413.01170	57239.64027	61681.08789	54221.84980	57483.57361	64385.50694	54075.47837	54971.49741	55474.62122	55010.47837	58181.86884	54301.20218	57764.18313	66056.98313	57254.81170	55514.11646	54325.42122	57666.84027
I9	59625.32599	55733.09741	63492.11646	58115.93551	55308.67837	55157.54503	61627.62122	57724.95456	69625.96408	60999.17361	55107.48789	62373.46884	56591.44980	56730.24980	60270.96408	55364.33551	54585.27837	56910.73551	54507.06884	60249.55456	62034.93551	60325.54503	55154.76408	63275.44027	61051.51646	54322.20218	54540.34503	61638.22122	55603.83075	59608.84980	55439.06884	60272.64980	60612.56408	57225.56408	61173.02122	60957.50694	62012.83075	60238.07837	54817.29741	57042.04980	54806.86884	58306.21170	55413.42122	61311.43075	61280.98313	61222.35456	60088.60218	54677.19265	57262.68789	56939.93551	57819.12599	62736.01170	55859.51646	62564.76408	55431.08789	56170.00218	58032.28789	61936.56408	61587.08789	55293.39265	61751.03075	55199.50694	60259.24027	62365.95456	59508.55456	55302.74503	58157.30694	61422.47837	55265.01170	55012.69741	58084.66884	54989.97361	57067.84980	63835.13551	57949.64980	61047.89741	60531.84980	62797.14503	55191.50694	61179.10694	55269.69741	56278.29741	61401.72599	62056.26884	59684.85932	57571.05932	63485.07837	61201.02122	61112.64980	57476.09741	54585.85932	61266.58313	58310.51646	54385.48789	55019.50694	55585.63075	54896.48789	61283.87837	57864.21170	57186.19265	57517.99265	60608.82122	58185.12599	54644.43075	61058.84980
I10	62962.53551	56739.30694	65017.32599	60592.14503	56285.88789	56198.75456	63621.83075	57475.16408	60999.17361	73983.38313	56090.69741	64441.67837	56536.65932	57071.45932	64445.17361	56327.54503	56997.48789	59499.94503	56219.27837	63159.76408	65020.14503	64028.75456	56113.97361	65305.64980	64259.72599	55410.41170	56083.55456	64886.43075	56322.04027	62981.05932	56601.27837	63827.85932	64334.77361	57157.77361	64156.23075	60730.71646	65850.04027	63177.28789	55877.50694	57182.25932	55451.07837	57287.42122	56346.63075	64317.64027	64354.19265	64057.56408	64271.81170	56251.40218	59839.89741	56934.14503	57623.33551	64911.22122	56911.72599	65621.97361	56421.29741	56665.21170	57260.49741	65938.77361	65535.29741	56211.60218	64739.24027	56122.71646	62822.44980	65106.16408	63788.76408	56147.95456	59752.51646	65368.68789	56021.22122	56298.90694	57807.87837	56008.18313	57046.05932	64982.34503	60693.85932	65576.10694	60587.05932	64524.35456	56104.71646	64052.31646	56279.90694	56715.50694	63989.93551	65419.47837	65059.06884	57230.26884	65458.28789	64818.23075	63331.85932	57281.30694	56273.06884	66079.79265	57281.72599	56061.69741	55815.71646	56433.84027	55747.69741	64867.08789	58241.42122	57548.40218	57403.20218	60476.03075	59793.33551	55700.64027	64942.05932
